FSGA,TANF_IND,REALPROP,FSTOTDE2,FSNONCIT,HWGT,TPOV,FSTANF,FSUNEARN,FSGRINC,FSTOTDED,FSWAGES,FSUSIZE,CERTHHSZ,LIQRESOR,FSDIS,RAWERND,FSNETINC,FSERNDED,FSSLTDED,WRK_POOR,FSERNDE2,FSEARN,FSSLTDE2,FSSTDDE2,FSNELDER,SHELDED,FSSSI,FSASSET,RAWNET,CAT_ELIG,VEHICLEA,FSVEHAST
231.0,0.0,0.0,134.0,0.0,743.1708434696594,28.0,0.0,231.0,231.0,134.0,0.0,1.0,1.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,97.0,1.0,1.0,0.0
0.0,1.0,0.0,652.0,0.0,892.3187288676908,111.0,310.0,310.0,1226.0,652.0,916.0,2.0,2.0,0.0,0.0,183.0,574.0,183.0,163.0,1.0,274.0,916.0,163.0,201.0,0.0,164.0,0.0,0.0,573.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,705.4012962642042,0.0,0.0,0.0,0.0,551.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,337.0,0.0,926.0073359137072,92.0,0.0,0.0,1015.0,337.0,1015.0,2.0,2.0,0.0,0.0,203.0,678.0,203.0,0.0,1.0,203.0,1015.0,0.0,134.0,0.0,0.0,0.0,0.0,678.0,0.0,1.0,0.0
231.0,0.0,0.0,134.0,0.0,743.1708434696594,28.0,0.0,231.0,231.0,134.0,0.0,1.0,1.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,97.0,1.0,1.0,0.0
0.0,0.0,0.0,248.0,0.0,835.5428305209961,77.0,0.0,628.0,628.0,248.0,0.0,1.0,1.0,0.0,0.0,0.0,380.0,0.0,114.0,0.0,0.0,0.0,114.0,201.0,1.0,114.0,427.0,0.0,380.0,1.0,1.0,0.0
0.0,1.0,0.0,389.0,0.0,704.5805438707989,28.0,389.0,389.0,389.0,456.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,322.0,0.0,0.0,0.0,255.0,134.0,0.0,322.0,0.0,0.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,191.0,0.0,818.9530929645381,30.0,0.0,499.0,499.0,191.0,0.0,4.0,4.0,0.0,1.0,0.0,308.0,0.0,52.0,0.0,0.0,0.0,52.0,191.0,0.0,52.0,0.0,0.0,308.0,0.0,1.0,0.0
0.0,0.0,0.0,390.0,0.0,792.0736601413167,78.0,0.0,636.0,636.0,390.0,0.0,1.0,1.0,55.0,1.0,0.0,246.0,0.0,256.0,0.0,0.0,0.0,256.0,201.0,0.0,256.0,0.0,55.0,246.0,0.0,1.0,0.0
0.0,0.0,0.0,607.0,0.0,804.5596357299704,66.0,0.0,915.0,915.0,607.0,0.0,3.0,3.0,0.0,0.0,0.0,308.0,0.0,417.0,0.0,0.0,0.0,417.0,134.0,0.0,417.0,0.0,0.0,308.0,0.0,1.0,0.0
